user_id,skill_name,opportunity,attempt_count,ms_first_response,overlap_time,hint_count,correct
77118,Addition and Subtraction Integers,966,1,2590,2590,0,1
89048,Conversion of Fraction Decimals Percents,3,1,7245,7245,0,1
86365,Equation Solving Two or Fewer Steps,19,1,2105,2105,0,1
96227,Counting Methods,10,1,11094,11203,0,0
78909,Subtraction Whole Numbers,8,1,2522553,2522553,0,1
78557,Area Triangle,168,1,3200,3200,0,1
92249,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",520,2,2828,9143,0,0
78517,Equation Solving More Than Two Steps,7,1,63390,63390,0,1
78519,Greatest Common Factor,26,1,115970,115970,0,1
78904,Percent Of,11,1,17568,17568,0,1
78512,Area Rectangle,53,1,27813,27813,0,1
88688,Subtraction Whole Numbers,60,1,1195,7182,3,0
79063,Equation Solving More Than Two Steps,16,1,33130,33130,0,1
86343,Write Linear Equation from Graph,3,2,11168,51331,0,0
78923,Absolute Value,2,1,4906,4906,0,1
96238,Multiplication Fractions,7,1,19152,19152,0,1
78569,Greatest Common Factor,57,1,727244,727244,0,1
78908,Percent Of,16,1,9836,9836,0,1
78569,Volume Rectangular Prism,178,1,60226,60226,0,1
70729,Percent Of,23,1,25180,25180,0,1
86327,Exponents,3,1,18891,18891,0,1
78495,Area Trapezoid,38,1,140363,140363,0,1
78557,Venn Diagram,147,4,8249,85845,2,0
96257,Least Common Multiple,6,12,51716,112287,4,0
78520,Area Trapezoid,13,1,111007,111007,0,1
78556,Volume Rectangular Prism,399,1,41112,41112,0,1
84425,Equation Solving Two or Fewer Steps,2,2,32000,38279,0,0
78757,Volume Rectangular Prism,38,1,29611,29611,0,1
96244,Equation Solving Two or Fewer Steps,150,1,5330,5330,0,1
90171,Percent Of,4,1,3252,22189,2,0
79492,Addition and Subtraction Fractions,7,3,58172,172625,0,0
86229,Addition and Subtraction Fractions,4,1,92774,211693,2,0
78528,Volume Rectangular Prism,105,1,38134,38134,0,1
96271,Pattern Finding ,97,0,2882,2882,0,0
96268,Volume Sphere,3,1,79466,79466,0,1
92248,Conversion of Fraction Decimals Percents,60,1,3563,3563,0,1
78843,Conversion of Fraction Decimals Percents,14,1,6173,25658,3,0
79032,Calculations with Similar Figures,10,3,86281,137906,2,0
83960,Divisibility Rules,7,1,10325,10325,0,1
96276,Calculations with Similar Figures,6,1,15304,15304,0,1
78926,Addition Whole Numbers,1,1,139610,139610,0,1
71570,Percent Of,4,1,10485,10485,0,1
79019,Calculations with Similar Figures,56,1,7359,7359,0,1
78863,Addition Whole Numbers,16,1,3930,3938,0,0
86312,Proportion,2,0,19865,19865,0,0
80653,Multiplication and Division Integers,6,1,14115,14115,0,1
88642,Equation Solving Two or Fewer Steps,13,1,2258,2258,0,1
78974,Scatter Plot,2,1,28483,28483,0,1
79319,Venn Diagram,2,1,23088,23125,0,0
80640,Addition and Subtraction Integers,16,1,4092,4092,0,1
78770,Addition and Subtraction Fractions,9,1,39046,39046,0,1
70872,Rounding,2,4,10110,16735,0,0
79031,Equation Solving More Than Two Steps,11,2,17494,42288,0,0
78266,Multiplication Fractions,1,1,55172,55172,0,1
78531,Area Rectangle,6,1,18430,18430,0,1
85945,Conversion of Fraction Decimals Percents,1,2,52218,54770,0,0
84178,Equation Solving Two or Fewer Steps,59,4,4471,11815,0,0
96278,Circle Graph,7,1,22582,22582,0,1
96245,Multiplication Fractions,1,1,51642,51642,0,1
78968,Pattern Finding ,4,1,146200,146200,0,1
78549,Area Triangle,9,1,30003,30003,0,1
78539,Volume Cylinder,362,1,72891,72891,0,1
92249,Recognize Linear Pattern,25,2,71497,74571,0,0
78555,Venn Diagram,66,1,30683,30683,0,1
81096,Equivalent Fractions,3,1,58657,58657,0,1
79023,Write Linear Equation from Situation,4,1,10906,10906,0,1
81013,Range,7,1,23501,23501,0,1
96259,Equation Solving More Than Two Steps,16,1,32846,32846,0,1
78569,Area Rectangle,100,0,1,1,0,1
78513,Greatest Common Factor,93,1,41262,41262,0,1
78549,Volume Cylinder,104,0,1,1,0,1
78919,Multiplication Fractions,18,1,45380,45380,0,1
78455,Ordering Fractions,6,1,14099,14099,0,1
78544,Greatest Common Factor,197,1,47044,47044,0,1
96260,Multiplication Fractions,3,1,36090,36090,0,1
84572,Multiplication Fractions,17,2,8234,103718,3,0
79545,Counting Methods,11,1,18062,18109,0,0
78499,Area Rectangle,30,2,28171,30593,0,0
83169,Median,8,1,175063,175063,0,1
78919,Calculations with Similar Figures,32,1,32766,32766,0,1
96283,Venn Diagram,10,1,5539,5539,0,1
78178,Order of Operations All,2,1,4829,10364,3,0
96227,Equation Solving Two or Fewer Steps,123,1,86969,86969,0,1
79068,Volume Rectangular Prism,4,1,4281,4281,0,1
