p_recall,delta_days,history_seen,history_correct,session_seen,session_correct,hour_of_day,learning_language,lexeme_string
1.0,0.2787962962962963,3,3,1,1,2,en,turtles/turtle<n><pl>
1.0,7.339050925925926,5,5,3,3,23,en,they/prpers<prn><subj><p3><mf><pl>
1.0,4.031134259259259,3,3,2,2,14,en,interesting/interesting<adj>
0.5,1.2582638888888888,7,6,2,1,20,fr,la/le<det><def><f><sg>
1.0,0.002349537037037037,25,24,1,1,23,en,eat/eat<vblex><pres>
1.0,6.489282407407408,5,4,3,3,21,de,dem/der<det><def><m><sg><dat>
1.0,0.006284722222222222,7,7,1,1,0,en,girls/girl<n><pl>
1.0,0.007592592592592593,2,2,1,1,5,pt,bife/bife<n><m><sg>
0.0,0.0005324074074074074,17,17,1,0,1,fr,robe/robe<n><f><sg>
0.0,88.71201388888889,3,3,1,0,8,es,largo/largo<adj><m><sg>
1.0,0.004224537037037037,13,13,2,2,0,es,comes/comer<vblex><pri><p2><sg>
1.0,40.97775462962963,18,17,1,1,22,en,juice/juice<n><sg>
1.0,0.36863425925925924,8,6,4,4,19,es,faldas/falda<n><f><pl>
1.0,3.8308449074074074,17,17,1,1,14,fr,propre/propre<adj><mf><sg>
1.0,0.004988425925925926,3,3,1,1,1,de,lerne/lernen<vblex><pri><p1><sg>
1.0,2.247199074074074,4,3,1,1,19,it,gli/il<det><def><m><pl>
0.75,0.005868055555555555,2,1,4,3,4,de,mädchen/mädchen<n><nt><sg><nom>
1.0,0.008078703703703704,3,2,1,1,11,es,zapato/zapato<n><m><sg>
1.0,4.022743055555556,6,4,2,2,21,es,negro/negro<adj><m><sg>
1.0,0.012118055555555556,23,23,1,1,3,en,apples/apple<n><pl>
1.0,32.275925925925925,18,12,1,1,23,en,ask/ask<vblex><inf><@future_phrasal>
1.0,117.28202546296296,3,3,1,1,16,en,pay/pay<vblex><pres>
1.0,0.0035185185185185185,2,2,1,1,2,en,<*sf>/skirt<n><*numb>
1.0,0.005706018518518518,33,32,3,3,19,en,water/water<n><sg>
1.0,6.206469907407407,2,2,1,1,17,en,after/after<pr>
1.0,1.942060185185185,4,2,1,1,0,en,listen/listen<vblex><inf>
0.857142857143,2.2675,6,5,7,6,22,en,children/child<n><pl>
1.0,85.99172453703704,7,6,1,1,14,es,gato/gato<n><m><sg>
1.0,39.54818287037037,9,9,1,1,15,fr,lit/lire<vblex><pri><p3><sg>
1.0,1.0267592592592591,21,19,1,1,5,en,dog/dog<n><sg>
1.0,0.0043287037037037035,4,3,4,4,6,es,mujer/mujer<n><f><sg>
1.0,0.9285185185185185,26,22,1,1,0,en,and/and<cnjcoo>
0.0,0.0021064814814814813,5,4,1,0,3,es,cartas/carta<n><f><pl>
1.0,0.003564814814814815,39,29,1,1,18,en,me/prpers<prn><obj><p1><mf><sg>
1.0,12.141018518518518,6,5,1,1,2,en,egg/egg<n><sg>
1.0,1.0190277777777779,7,6,3,3,1,fr,un/un<det><ind><m><sg>
1.0,9.590960648148148,12,9,3,3,4,es,niño/niño<n><m><sg>
1.0,3.0441666666666665,3,3,1,1,23,de,brot/brot<n><nt><sg><nom>
1.0,0.005486111111111111,3,3,2,2,1,en,'/'<apos>
1.0,0.01511574074074074,71,71,1,1,14,en,is/be<vbser><pri><p3><sg>
1.0,2.8622337962962963,44,40,2,2,18,en,hats/hat<n><pl>
1.0,1.756712962962963,2,2,2,2,14,en,<*sf>/model<n><*numb>
1.0,0.0352662037037037,48,44,1,1,13,en,does/do<vbdo><pri><p3><sg>
1.0,0.9919097222222222,2,2,1,1,19,en,beer/beer<n><sg>
1.0,0.002685185185185185,4,4,1,1,2,en,say/say<vblex><pres>
1.0,1.6991319444444444,6,6,1,1,18,it,<*sf>/notte<n><f><*numb>
